Date_Scraped,Date_Param,Commodity_ID,Commodity_Name,Province_ID,Province_Name,Price,Price_Type
2026-02-12,2022-01-02,2,Daging Ayam,32,Maluku Utara,39000.0,1
2026-02-12,2022-01-02,2,Daging Ayam,33,Papua,39450.0,1
2026-02-12,2022-01-02,2,Daging Ayam,34,Papua Barat,42150.0,1
2026-02-12,2022-01-03,2,Daging Ayam,1,Aceh,32150.0,1
2026-02-12,2022-01-03,2,Daging Ayam,2,Sumatera Utara,38600.0,1
2026-02-12,2022-01-03,2,Daging Ayam,3,Sumatera Barat,48750.0,1
2026-02-12,2022-01-03,2,Daging Ayam,4,Riau,34900.0,1
2026-02-12,2022-01-03,2,Daging Ayam,5,Kepulauan Riau,39850.0,1
2026-02-12,2022-01-03,2,Daging Ayam,6,Jambi,40100.0,1
2026-02-12,2022-01-03,2,Daging Ayam,7,Bengkulu,39900.0,1
2026-02-12,2022-01-03,2,Daging Ayam,8,Sumatera Selatan,36650.0,1
2026-02-12,2022-01-03,2,Daging Ayam,9,Kepulauan Bangka Belitung,44750.0,1
2026-02-12,2022-01-03,2,Daging Ayam,10,Lampung,34800.0,1
2026-02-12,2022-01-03,2,Daging Ayam,11,Banten,38400.0,1
2026-02-12,2022-01-03,2,Daging Ayam,12,Jawa Barat,37850.0,1
2026-02-12,2022-01-03,2,Daging Ayam,13,DKI Jakarta,40600.0,1
2026-02-12,2022-01-03,2,Daging Ayam,14,Jawa Tengah,35350.0,1
2026-02-12,2022-01-03,2,Daging Ayam,15,DI Yogyakarta,38500.0,1
2026-02-12,2022-01-03,2,Daging Ayam,16,Jawa Timur,35950.0,1
2026-02-12,2022-01-03,2,Daging Ayam,17,Bali,38500.0,1
2026-02-12,2022-01-03,2,Daging Ayam,18,Nusa Tenggara Barat,40550.0,1
2026-02-12,2022-01-03,2,Daging Ayam,19,Nusa Tenggara Timur,47850.0,1
2026-02-12,2022-01-03,2,Daging Ayam,20,Kalimantan Barat,38950.0,1
2026-02-12,2022-01-03,2,Daging Ayam,21,Kalimantan Selatan,42600.0,1
2026-02-12,2022-01-03,2,Daging Ayam,22,Kalimantan Tengah,38250.0,1
2026-02-12,2022-01-03,2,Daging Ayam,23,Kalimantan Timur,34550.0,1
2026-02-12,2022-01-03,2,Daging Ayam,24,Kalimantan Utara,42750.0,1
2026-02-12,2022-01-03,2,Daging Ayam,25,Gorontalo,28350.0,1
2026-02-12,2022-01-03,2,Daging Ayam,26,Sulawesi Selatan,28200.0,1
2026-02-12,2022-01-03,2,Daging Ayam,27,Sulawesi Tenggara,38200.0,1
2026-02-12,2022-01-03,2,Daging Ayam,28,Sulawesi Tengah,33350.0,1
2026-02-12,2022-01-03,2,Daging Ayam,29,Sulawesi Utara,36500.0,1
2026-02-12,2022-01-03,2,Daging Ayam,30,Sulawesi Barat,28350.0,1
2026-02-12,2022-01-03,2,Daging Ayam,31,Maluku,42450.0,1
2026-02-12,2022-01-03,2,Daging Ayam,32,Maluku Utara,39000.0,1
2026-02-12,2022-01-03,2,Daging Ayam,33,Papua,38900.0,1
2026-02-12,2022-01-03,2,Daging Ayam,34,Papua Barat,41700.0,1
2026-02-12,2022-01-04,2,Daging Ayam,1,Aceh,33000.0,1
2026-02-12,2022-01-04,2,Daging Ayam,2,Sumatera Utara,38700.0,1
2026-02-12,2022-01-04,2,Daging Ayam,3,Sumatera Barat,48950.0,1
